Brand,Description,Score
Baron G Rouge,"Very dense body Powerful and very complex nose: black cherry, tobacco, cocoa, pepper, fruit paste, dried fruit ... Palate: fleshy, with a tangy finish that brings a lot of freshness. Alcohol (15 °) does not feel. The whole is very balanced. Long finish, on the acidulated black current.",4
Baron G Rouge,"Nice wine with autochthonous grapes from the heights of Nice (Folle Noire and Braquet). Dark garnet color, a nose both spicy and very fresh on thyme. The palate is delicate, refined, dominated by aromas of blueberries. Very nice bottle.",4
Baron G Rouge,A real discovery. Matches excellently with yellow place.,"4,5"
Baron G Rouge,Round freshness 100% rolle no passage in barrel,4
Baron G Rouge,"The years have passed by, but the wine is still present.",4
Baron G Rouge,"Red fruits on the nose. Fresh and tense mouth, very juicy. Forest fruits. Explosive in the final on beautiful bitters. Fine tannins. At maturity !",4
Baron G Rouge,Beautiful Blackberry discovery Rich and velvety,4
Baron G Rouge,A wine that needs to open so that the tannins melt and take a little depth. Still a little light,"3,5"
Baron G Rouge,"Hum it's good! The nose is beautiful slightly evolved blackcurrant, plum brandy, spices, a subtle smoked. In the mouth great opulence, the material is both fine and melted on the red fruit stewed with the serpolette. The length is prodigious. Big discovery.","4,5"
Baron G Rouge,"Nose: menthol, eucalyptus that bring a lot of freshness and blackcurrant , empyreumatic notes very greedy. On the palate: nice balance, fruity structure we find the tannins in the middle of the mouth and we find the spices in the final. Very nice wine. It must still be waited.",4
Baron G Rouge,Vineyard ultra confidential of the hinterland of Nice. Grape variety. A vegetal and woody wine. Full bodied and very robust. A wine from elsewhere without a doubt.,"3,5"
Baron G Rouge,"1999, exceptional in full maturity, alcohol, fruit, a moment of happiness.",4
Baron G Rouge,Nose cocoa tobacco Mouth powerful confit balance fleshy and freshness at the end of mouth Merveilleux,4
Baron G Rouge,"Sense to be better than the simple name Chateau (without baron) A little too ""fat"" in my opinion Full bodied as the Americans would say because a lot of oak was","2,5"
Baron G Rouge,Slightly golden color Woody nose and toasty notes. Light malt taste with acidity on the finish. Good complexity,4
Baron G Rouge,"70% Folle Noire, 15% Braquet, 15% Grenache. Fresh and fruity.","3,5"
Baron G Rouge,Nose on coffee / cocoa spices but not yet very open. Acidity that balances alcohol. Keep.,4
Baron G Rouge,Very interesting wine Woody and smoky notes A lot of body and power Can still be kept for at least five years ...,"4,5"
Baron G Rouge,"Beautiful white flowers, well structured wine",4
Baron G Rouge,One of the best bellet I have ever tasted in my life and they are very rare!,4
Baron G Rouge,"Round, balanced, red fruit stewed, powerful.",4
Baron G Rouge,"Round, frank, fresh. Mineral. Dry but not austere. Ideal summer",4
Baron G Rouge,"Woody, meaty, a very good wine atypical we feasted ...",4
Baron G Rouge,"Good performance, but we have seen more exciting vintages",4
Baron G Rouge,"Powerful, fruity. Uncommon. Top",5
Baron G Rouge,"Powerful nose, blueberry (according Margaux 5 years) bestial leather (gooseberry according to Magda 12 years) strong and very good finish.",5
Baron G Rouge,The pure Bellet If there is a red wine of bellet it is well that,5
Baron G Rouge,A little delight thank you Pitou!,5
Baron G Rouge,"Smooth, local blend for Nice, less earthy than I remember","4,5"
Baron G Rouge,"This is great rosé. Aged, but deepened and intense. Perfect with a courgette and goat cheese pie. In the nose confit of strawberry and cherries, with wooded elements. Full bodied, with still tanines, plummy fruit, leather, camphor, brioche, herbal elements, pleasantly peppery and a slightly bitter finish.",4
Baron G Rouge,"Tasting at Bellet winery, Provanse One of three wines presented on degustation - last wine of set 4-- One of signature wines of Chateau, with production only ~5000 bottles. It's really rare wine to have a pleasure to try Already strong ripe berries aromas, herbs, dark ink - ruby color, dominant acidity and still wild tannins. Earthy, mineral, red and black berries driven, strong spicy aftertaste. On other side - after 4 hours in bottle is already drinkable, but some food is requested ",4
Baron G Rouge,Wine with great potential,4
Baron G Rouge,Only 20% of chardonnay to round it all up. A nice wine from Nice. I enjoyed it with a local Nice fish: pageot.,4
Baron G Rouge,Easily the best of the 4 wines tasted at the chateau. Dark cherry fruits and violet with medium tannins.,"4,5"
Baron G Rouge,Fresh early strawberries and light oak,4
Baron G Rouge,all in place,"4,5"
Baron G Rouge,Firmly good!,4
Baron G Rouge,"Greetings, arrow.","4,5"
Baron G Rouge,Broken promise,3
Baron G Rouge,Beautiful bold red. Visited the vineyard in Nice in 2016 and bought a few bottles including this one. Superb value for money.,"4,5"
Baron G Rouge,Great wine. Tasty and with a color .....,4
Baron G Rouge,"Colour is Transparent, nose is serious, solid taste. But not mine.",4
Baron G Rouge,Elegant. Fun with wine from France's smallest wine area.,"4,5"
Baron G Rouge,"very beautiful, burgundy-like cuvee, drunk in autumn 2015",3
Baron G Rouge,Shoe polish and dark berries - fresh. Good condition. Something balsamic. Plum and sweet cherries. Great structure. Top ballasted barrel use. Best vintage I have tasted 94-96p,5
Baron G Rouge,Dry and smooth. 'Nuff said.,"4,5"
Baron G Rouge,"Very good wine, well done, good surprise, the best bellet I have ever tast","4,5"
Baron G Rouge,"Tasted February 19, 2015. EYE: Bright ruby color, brick red ring. NOSE: Blackberry, mild scents of smoke and licorice, not a complex bouquet. MOUTH: Progressive attack, a mild acidity, tannins come first, then blackberry, unripe raspberry and licorice. AFTERTASTE: Long caudalies, some astringency, mint. IMPRESSION: A pleasant wine with dominant braquet grapes. Still young, to drink now or in 1-3 years (I don't think it would improve after that). PS: It is an AOC Bellet, not Bordeaux as stated.",3
Baron G Rouge,"Very special wine. Powerful in taste, a little bit licorice, long aftertaste. This vintage is good for 5 years before it is perfect.",4
Baron G Rouge,Passion Provence,"4,5"
Baron G Rouge,"One of the better reds from Nice in my opinion, spices and dark fruits some tobacco / licorice. Bad weather guy on the fireplace and football on tv, then red wine is a must !!!","3,5"
Baron G Rouge,"Would benefit from a few years more in cellar, but drinkable already now. Maybe affected by our recent visit at the house, but this is a very nice bottle.",4
Baron G Rouge,"Perfumed nose. Pepper, blackcurrant, forest notes, oak. Good mouthfeel, good length. 89 p",4
Baron G Rouge,"Sweet fruit, great mouthfeel and balance.","3,5"
Baron G Rouge,"Cool dark red pulp on smell. Good structure, good Grenach wine, full bodied, relatively powerful. Cherry, tobacco, mineral tones, and taste. Long, fairly complex aftertaste with dry output.",4
Baron G Rouge,This is a dry rose with hints of flowers on the nose and a long finish with hints of spice and liquorice.,5
Baron G Rouge,Big surprise! In the best traditions of the best Burgundy.,"4,5"
Baron G Rouge,A liitle too spicy for me,"3,5"
Baron G Rouge,Touch of Chardonnay gives beautiful taste,4
Baron G Rouge,"Bit, not so dry, not so sweet. Good with oyster and lobster. I drink the white one.",4
Baron G Rouge,epice light fully embodied.,4
Baron G Rouge,Visitted the chateau few kilometers outside Nice. Nice little production. Almost no export.,4
Baron G Rouge,Toppertje,4
Baron G Rouge,Good,"3,5"
Baron G Rouge,Super ,5
Baron G Rouge,Excellent fruity original slips all by itself great wine,5
Baron G Rouge,It was quite easy to drink and I liked it a lot. The aftertaste is also firm. Get drunk.,"4,5"
Baron G Rouge,Amazing,4
Baron G Rouge,"Balanced on the palate with a scent of nuts, says my friend Mary.",4
Baron G Rouge,Good but ... It will be my taste,"3,5"
Baron G Rouge,Great!,5
Baron G Rouge,Rich and powerful. Not so sweet. Digg!,"4,5"
Baron G Rouge,Fresh and fruity,4
Baron G Rouge,One of the best red I’ve ever had in any price range. Both sweet and dry at the same time. Incredibly tasteful and elegant.,5
Baron G Rouge,At the Chateau Ballet tasting their wines. Well nice but White and Rose are better.,3
Baron G Rouge,Spectacular. Subtle tones with a delightful aftertaste.,"4,5"
Baron G Rouge,Great balance! Deep long flavour. Juicy yet dry mouthfeel.,5
Baron G Rouge,"You do not think it is coming from cote de Provence, full body.",5
Baron G Rouge,Good!,5
Baron G Rouge,Excellent wine with 95% Rolle grapes and 5% Chardonnay grapes added.,5
Baron G Rouge,Wine produced from Nice region. First taste was surprisingly good. Medium bodied and well balanced.,5
Baron G Rouge,Tasted at the Chateau in Nice. Certainly not my taste,2
Baron G Rouge,"Drinks well in Nice. Good body. Good nose and length if it was good enough for Prince Albert, good enough for us.",4
Baron G Rouge,Nice round and good,5
Baron G Rouge,wonderful,5
Baron G Rouge,Wonderful!,5
Baron G Rouge,"Very special experience. Rose on Ticket at Nice made from grapes that are only grown there. Does not taste like rosé, red wine or white wine. It is completely its own.","3,5"
Baron G Rouge,"Complicated, suitable with spicy fish etc","3,5"
Baron G Rouge,Very nice fruity and Biological wine ....insured without headache!,4
Baron G Rouge,"little astringent, beautiful color",3
Baron G Rouge,Delicious wine very enjoyable.,4
Baron G Rouge,"Ok wine, but does not do it for me..",3
Baron G Rouge,"Natural, funky, berry (black berries - a little immature), some vinegar in the aftertaste","4,5"
Baron G Rouge,Every time I drink it it always looks better,5
Baron G Rouge,Enjoyable!,"3,5"
Baron G Rouge,Salty,"3,5"
Baron G Rouge,Amami's goodness,4
Baron G Rouge,Delicious nice wine,4
Baron G Rouge,"Very Smooth, Blackcurrant, long legs, heavenly, my favourite",5
Baron G Rouge,"Perfect! Not too fruity, not too dry. A perfect balance.",5
Baron G Rouge,a lot of wood,3
Baron G Rouge,"Plums, dates. Tried at vineyard in Nice Store up to 10 years.",4
Baron G Rouge,Acceptable but certainly not adequate for the price,"2,5"
Baron G Rouge,Enormous,5
Baron G Rouge,"
Expensive but top note of ripe red fruit Tannin little present",1
Baron G Rouge,"Bordeaux from château Belvue from 2008, taste with cherries, soft aftertaste. Nice in combination with BBQ.",2
Baron G Rouge,Chateau de Bellet currently around the corner .. Highly recommended :),5
Château de Bellet Rouge,Very big rosé. Coral dress and floral nose. Full and powerful mouth. Never heavy. Very long with only 13%. A must,4
Château de Bellet Rouge,Too structured to drink as an aperitif. Can accompany a meal easily. Rest a good rosé de Provence,4
Château de Bellet Rouge,"Beautiful wine, spicy and silky. Long and elegant.",4
Château de Bellet Rouge,"Magnificent ! Cigar notes, at its peak! Or how to match a Provence wine with a game ...",5
Château de Bellet Rouge,"Beautiful colour, aromas of spices, it is all in finesse at the beginning on the prunes then the power arrives. It is full bodied with perfect length. A wine of a small appellation ""Bellet"" on the borders of Nice with two grape varieties: Folle Noire 60% and 40% grenache. With only 10 winegrowers this AOC that could be described as urban (Nice) is simply beautiful. At least in this bottle.","4,5"
Château de Bellet Rouge,"Nose on red fruits, a small rhubarb side, on the palate it looks like a southern pinot, round and fruity. Very nice but lacks a bit of personality.","3,5"
Château de Bellet Rouge,"Très surprenant, des saveurs, du sud et de la complexité. Peut déplaire mais son originalité m'a plue.",4
Château de Bellet Rouge,good ageing potential  Note of oak on the nose In mouth very complex wine and very balanced with the body in the entry of the vivacity and acidity at the end of the mouth very nice wine,4
Château de Bellet Rouge,"Surprenant !! Élégant et fin, un vrai plaisir !!",4
Château de Bellet Rouge,"Open after nearly 10 years, pleasantly surprised by the holding of this wine, beautiful color, light in the mouth, very short finish.",3
Château de Bellet Rouge,"Gourmand, melted tannins, red fruits and more spicy notes in the finish, it's good but it's still a little expensive ...","3,5"
Château de Bellet Rouge,Great wine with full body aromas of white peach fruits very slightly honeyed and a discreet woody melted Great bottle Too bad the owners are so unkind to say the least,"4,5"
Château de Bellet Rouge,Small pleasant note of red fruits but lack of persistence in the mouth. To decant preferably before tasting,4
Château de Bellet Rouge,"Pleasant fruity. Wine of character. More full bodied than a ""classic"" rosé. Perfect for a subtle match.",4
Château de Bellet Rouge,"Superb wine, aromatic, freshness",4
Château de Bellet Rouge,"well melted, balanced, fresh in the mouth. Bu in Oct 2016. Excellent. In its plenitude for those who have in their cellar, to drink without waiting.",4
Château de Bellet Rouge,Exceptional! A real crush on this explosive wine with aromas and an unusual mouth.,5
Château de Bellet Rouge,"Wine already completed with a lot of freshness despite the appellation. Nose of black fruits on ripened ample mouth, velvety with big deployment. To keep of course",4
Château de Bellet Rouge,Excellent Very nice surprise To discover quickly !!,4
Château de Bellet Rouge,"Power and tannin, I love","4,5"
Château de Bellet Rouge,Wine of the marriage of the Prince of Monaco. Medium,3
Château de Bellet Rouge,Super red aperitif with blackcurrant ...,5
Château de Bellet Rouge,The white bellet is amazing!,5
Château de Bellet Rouge,Nose: Black cherry - floral - Palate: black fruits,5
Château de Bellet Rouge,Tea well done,"2,5"
Château de Bellet Rouge,without interest . rear taste unpleasant. Folle Noire unpleasant in the mouth.,1
Château de Bellet Rouge,"Quite powerful nose of fruits, apple pie, spice, more powerful on the palate, dry","3,5"
Château de Bellet Rouge,"If you like the reds of southern France, you will like this! It’s a mix of Folle Noir, which is almost extinct, and Grenache. Pepper, cherry, strawberry, jam, raisins, dried figs. Medium acidity, soft tannins, lengthy & warm finish.",4
Château de Bellet Rouge,"Excellent aged ruby red ripe berries cherry Different combo Grenach/Folle Noir 50/50 light oak, cd feel high alcohol",4
Château de Bellet Rouge,"s my last, or fourth bottle tonight, with Journey, ""don’t stop believing"", mom. night all! oh, it's from Cotê du Rhone, maybe, I like it..., night, night. ;)",4
Château de Bellet Rouge,"Quite scary, meeting a holiday love again after 4 years. Doesn't she disappoint, this 70% Rolle, 30% Grenache from the tiny appalation at Nice? Although very young: no way !!! Dry scent of black cherries, black pepper and potting soil. In the full aftertaste without hard tannins a lot of chocolate, wild strawberry, whole milk, red cherries, herbes d 'Provence, earth and tobacco. Delicious! The aftertaste is somewhat more acidic, towards chocolate-covered black currants. Tip!!! Unnoticeable 15%, 25 € @ on the spot, thanks for the import, Suus","4,5"
Château de Bellet Rouge,Magnificent!,"4,5"
Château de Bellet Rouge,"It stands less than Le Chapelle, so it’s simpler and even sharper","4,5"
Château de Bellet Rouge,Extreme elegant summer wine! Bolo meets provence !! Now up to cahors .... Malbec till i die!,4
Château de Bellet Rouge,"A 50% Grenache and 50% Folle Noir from the very south of France. Bellet AOC is just a drive away from Nice in Provence! This wine really showed something I haven't had in a red wine glass In a while. First it seems like skinny jeans/sour cherry on the palate. But THEN.. with a 15% of alcohol, a glycerol coating, surrounding the inside of my mouth. Like a cognac. Evaporating on my tongue in flavor. Full on with flavor and intensity! Paired this with duck and green pea mash and redwine glaze. Oh my.. 🍷👍",4
Château de Bellet Rouge,Great wine from a wonderful trip,"4,5"
Château de Bellet Rouge,Dense complex but with a nice touch of red fruits (raspberries),4
Château de Bellet Rouge,"Solid red, light tannins, slightly acidic. Weirdest red but good","4,5"
Château de Bellet Rouge,Best Rose so far while in Provence,"4,5"
Château de Bellet Rouge,Quite wonderful Rolle. Bought this bottle outside of Nice at the winery. Yes!,"4,5"
Château de Bellet Rouge,"Dark. Fantastic nose. Vinous, Mediterranean spices, depth and complexity (reminders of great grenache). The taste doesn't quite follow the nose ...",3
Château de Bellet Rouge,"65 folle noire 35 grenache let it open for a while as ""crazy dark"" (folle noire) is easier to drink when it gets some air. Worth trying with old cheese, red meat. Quality wine from Bellet",4
Château de Bellet Rouge,"A super discovery from southern France. Long smooth and well balanced, initial jammy taste, slight tannins and long aftertaste. then start then becomes more fruity and complex in the mouth. Quite expensive for this region that would normally pay but restaurant in Nice and recommended by them. Note 14.5 %",4
Château de Bellet Rouge,"Light jam flavor, little tannins, in itself very nice, only the cork tends to dry out. Definitely lie down",4
Château de Bellet Rouge,"Oaky and buttery. Purchased from the vineyard itself. Really enjoyed this, wish we’d bought more.","4,5"
Château de Bellet Rouge,Beautiful wine. Full yet fruity. Nicely balanced.,"4,5"
Château de Bellet Rouge,New & Interesting taste of Rolle,"3,5"
Château de Bellet Rouge,Great French Red.,4
Château de Bellet Rouge,"Minuty at first, but with a strong taste of strawberries at the end.",4
Château de Bellet Rouge,"Super smooth, light",4
Château de Bellet Rouge,"Muffin, vanilla, leather, no darling","3,5"
Château de Bellet Rouge,The stony soil and resilient grape combine to present this disturbed blend. Bitter like my ex and dirty... like my ex.,2
Château de Bellet Rouge,Balanced but somewhat dry.,5
Château de Bellet Rouge,Fruity floral Tried at vineyard in Nice,4
Château de Bellet Rouge,"Elegant. Substantial, unusual rose; aromatic, peach, melon",4
Château de Bellet Rouge,"Brilliant, straightforward!",4
Château de Bellet Rouge,The Nizzardi knew their business,4
Château de Bellet Rouge,"Wine has evolved extremely well after resting in decanter. The clear color, complex aroma and round finish.",5
Château de Bellet Rouge,Lovely cherry fruit and freshness. Doesn't appear to have aged much at all.,4
Château de Bellet Rouge,Light and smooth,5
Château de Bellet Rouge,Excellent french wine. Dry and intense.,5
Château de Bellet Rouge,Nice and fruity,4
Château de Bellet Rouge,In the top,5
Château de Bellet Rouge,Excellent,4
Château de Bellet Rouge,Fruity excellent !!!,5
Château de Bellet Rouge,"Very nice to drink, soft, would be good with lamb or... bouillabaisse","3,5"
Château de Bellet Rouge,A good bodied Provence red,3
Château de Bellet Rouge,"A wonderful wine local to Nice on the cote d’azur. Made with a grape known as the Folle Noir, or Crazy Black, notorious for it’s inconsistent growth! Full bodied, fruity and rich, with no hint of bitterness or mal intent. A rare find, enjoy it!",5
Château de Bellet Rouge,Good balance fruity excellent with roast lamb,5
Château de Bellet Rouge,God rose fra provance,5
Château de Bellet Rouge,superb,5
Château de Bellet Rouge,Perfect!,5
Baron G Rose,The rose of the colour is in The nose exhales raspberry and licorice The mouth is full and long A beautiful wine,4
Baron G Rose,"Superb very expressive nose with an uncommon variety, notes of underwood, mouth with a nice balance and a good freshness, beautiful length very beautiful bottle, appellation to discover!",4
Baron G Rose,Pleasant wine Less full bodied than its baron counterpart,3
Baron G Rose,Pffffff with a fois gras .....,4
